subject,code,noteOctave,note,sd
s54,AC20,D#4,D#,1
s2,AC21,A#3,A#,1
s4,AC21,A#2,A#,1
s6,AC21,A#3,A#,1
s8,AC21,A#3,A#,1
s10,AC21,A#3,A#,1
s12,AC21,D#3,D#,6
s16,AC21,A#2,A#,1
s21,AC21,A#2,A#,1
s23,AC21,B2,B,2
s25,AC21,A#3,A#,1
s27,AC21,B2,B,2
s29,AC21,A#3,A#,1
s31,AC21,A#3,A#,1
s33,AC21,A#2,A#,1
s35,AC21,F4,F,8
s37,AC21,F3,F,8
s41,AC21,A#3,A#,1
s42,AC21,F4,F,8
s44,AC21,A#3,A#,1
s47,AC21,A#3,A#,1
s49,AC21,D4,D,5
s51,AC21,A#3,A#,1
s53,AC21,C#3,C#,4
s56,AC21,A#2,A#,1
s58,AC21,A#3,A#,1
s2,AC22,F4,F,1
s4,AC22,D3,D,10
s6,AC22,F4,F,1
s8,AC22,F4,F,1
s10,AC22,F4,F,1
s12,AC22,A3,A,5
s16,AC22,C3,C,8
s21,AC22,F2,F,1
s23,AC22,E3,E,12
s25,AC22,F4,F,1
s27,AC22,F#3,F#,2
s29,AC22,A#4,A#,6
s31,AC22,F4,F,1
s33,AC22,F3,F,1
s35,AC22,G4,G,3
s37,AC22,C3,C,8
s41,AC22,F4,F,1
s42,AC22,C4,C,8
s44,AC22,F4,F,1
s47,AC22,C4,C,8
s49,AC22,F4,F,1
s51,AC22,F4,F,1
s53,AC22,F3,F,1
s56,AC22,F#3,F#,2
s58,AC22,A#2,A#,6
s1,AC23,C4,C,1
s3,AC23,C3,C,1
s5,AC23,C3,C,1
s7,AC23,A2,A,10
s9,AC23,C4,C,1
s11,AC23,C#4,C#,2
s13,AC23,C3,C,1
s15,AC23,B2,B,12
s18,AC23,C4,C,1
s20,AC23,C4,C,1
s22,AC23,C#4,C#,2
s24,AC23,C4,C,1
s28,AC23,C4,C,1
s30,AC23,C4,C,1
s32,AC23,C4,C,1
s34,AC23,A3,A,10
s36,AC23,A2,A,10
s38,AC23,C4,C,1
s40,AC23,D4,D,3
s43,AC23,C3,C,1
s46,AC23,A2,A,10
s48,AC23,C3,C,1
s50,AC23,A3,A,10
s52,AC23,C4,C,1
s54,AC23,C4,C,1
s2,AC24,D#4,D#,2
s4,AC24,D3,D,1
s6,AC24,D4,D,1
s8,AC24,D4,D,1
s10,AC24,D4,D,1
s12,AC24,D3,D,1
s16,AC24,D3,D,1
s21,AC24,D3,D,1
s23,AC24,A#2,A#,9
s25,AC24,D4,D,1
s27,AC24,D3,D,1
s29,AC24,D4,D,1
s31,AC24,D4,D,1
s33,AC24,D3,D,1
s35,AC24,D4,D,1
s37,AC24,A2,A,8
s41,AC24,D4,D,1
s42,AC24,D4,D,1
s44,AC24,A3,A,8
s47,AC24,D4,D,1
s49,AC24,D4,D,1
s51,AC24,D4,D,1
s53,AC24,D3,D,1
s56,AC24,D3,D,1
s58,AC24,B2,B,10
s2,AC25,G4,G,11
s4,AC25,A3,A,1
s6,AC25,D#4,D#,7
s8,AC25,G#4,G#,12
s10,AC25,A4,A,1
s12,AC25,A3,A,1
s16,AC25,A3,A,1
s21,AC25,G#2,G#,12
s23,AC25,A3,A,1
s25,AC25,A4,A,1
s27,AC25,F#3,F#,10
s29,AC25,G#4,G#,12
s31,AC25,A4,A,1
s33,AC25,G#2,G#,12
s35,AC25,A4,A,1
s37,AC25,A2,A,1
s41,AC25,A4,A,1
s42,AC25,A4,A,1
s44,AC25,A4,A,1
s47,AC25,A4,A,1
s49,AC25,A4,A,1
s51,AC25,A4,A,1
s53,AC25,A3,A,1
s56,AC25,A3,A,1
s58,AC25,E3,E,8
s2,AC26,D4,D,11
s4,AC26,E3,E,1
s33,AC26,B3,B,8
s42,AC26,B3,B,8
s12,AC26,E3,E,1
s16,AC26,E3,E,1
s21,AC26,E3,E,1
s27,AC26,E3,E,1
s53,AC26,E3,E,1
s56,AC26,E3,E,1
s6,AC26,E4,E,1
s8,AC26,E4,E,1
s25,AC26,E4,E,1
s31,AC26,E4,E,1
s35,AC26,E4,E,1
s41,AC26,E4,E,1
s44,AC26,E4,E,1
s47,AC26,E4,E,1
s49,AC26,E4,E,1
s51,AC26,E4,E,1
s23,AC26,G#3,G#,5
s58,AC26,G#3,G#,5
s10,AC26,G#4,G#,5
s29,AC26,nan,nan,FALSE
s37,AC26,nan,nan,FALSE
s1,AC02,D4,D,1
s3,AC02,D3,D,1
s5,AC02,D3,D,1
s7,AC02,D3,D,1
s9,AC02,D4,D,1
s11,AC02,D4,D,1
s13,AC02,D3,D,1
s15,AC02,D3,D,1
s18,AC02,D4,D,1
s20,AC02,C#4,C#,12
s22,AC02,D#3,D#,2
s24,AC02,D4,D,1
s28,AC02,D4,D,1
s30,AC02,D4,D,1
s32,AC02,D4,D,1
s34,AC02,D4,D,1
s36,AC02,D3,D,1
s38,AC02,D4,D,1
s40,AC02,F#4,F#,5
s43,AC02,D3,D,1
s46,AC02,D3,D,1
s48,AC02,D3,D,1
s50,AC02,C#4,C#,12
s52,AC02,D4,D,1
s54,AC02,D4,D,1
s1,AC27,B3,B,1
s3,AC27,B2,B,1
s5,AC27,B2,B,1
s7,AC27,B2,B,1
s9,AC27,B3,B,1
s11,AC27,C4,C,2
s13,AC27,B2,B,1
s15,AC27,B2,B,1
s18,AC27,B3,B,1
s20,AC27,B3,B,1
s22,AC27,B3,B,1
s24,AC27,F#4,F#,8
s28,AC27,B3,B,1
s30,AC27,B3,B,1
s32,AC27,B3,B,1
s34,AC27,B3,B,1
s36,AC27,G#3,G#,10
s38,AC27,B3,B,1
s40,AC27,C#4,C#,3
s43,AC27,G2,G,9
s46,AC27,B2,B,1
s48,AC27,B2,B,1
s50,AC27,B3,B,1
s52,AC27,B3,B,1
s54,AC27,B3,B,1
s1,AC28,C#4,C#,8
s3,AC28,F#3,F#,1
s5,AC28,F#3,F#,1
s7,AC28,F#3,F#,1
s9,AC28,F#4,F#,1
s11,AC28,F#4,F#,1
s13,AC28,D#3,D#,10
s15,AC28,F#3,F#,1
s18,AC28,F#4,F#,1
s20,AC28,F#3,F#,1
s22,AC28,D4,D,9
s24,AC28,A#4,A#,5
s28,AC28,F#4,F#,1
s30,AC28,F#4,F#,1
s32,AC28,F4,F,12
s34,AC28,F#4,F#,1
s36,AC28,F#3,F#,1
s38,AC28,F#4,F#,1
s40,AC28,G#4,G#,3
s43,AC28,E3,E,11
s46,AC28,F3,F,12
s48,AC28,F3,F,12
s50,AC28,F#4,F#,1
s52,AC28,A3,A,4
s54,AC28,C4,C,7
s2,AC29,F4,F,5
s4,AC29,C#3,C#,1
s6,AC29,C#4,C#,1
s8,AC29,C#4,C#,1
s10,AC29,C#4,C#,1
s12,AC29,C#3,C#,1
s16,AC29,C#3,C#,1
s21,AC29,C#3,C#,1
s23,AC29,C#3,C#,1
s25,AC29,C#4,C#,1
s27,AC29,C#3,C#,1
s29,AC29,C#4,C#,1
s31,AC29,C#4,C#,1
s33,AC29,D#3,D#,3
s35,AC29,C#4,C#,1
s37,AC29,G#2,G#,8
s41,AC29,C#4,C#,1
s42,AC29,G#4,G#,8
s44,AC29,C#4,C#,1
s47,AC29,F4,F,5
s49,AC29,C#4,C#,1
s51,AC29,C#4,C#,1
s53,AC29,C#3,C#,1
s56,AC29,C#3,C#,1
s58,AC29,F3,F,5
s1,AC30,G#4,G#,1
s3,AC30,G#3,G#,1
s5,AC30,G#3,G#,1
s7,AC30,G#3,G#,1
s9,AC30,G#4,G#,1
s11,AC30,G#4,G#,1
s13,AC30,G#3,G#,1
s15,AC30,G#3,G#,1
s18,AC30,G#4,G#,1
s20,AC30,F4,F,10
s22,AC30,A4,A,2
s24,AC30,G#4,G#,1
s28,AC30,G#4,G#,1
s30,AC30,G#4,G#,1
s32,AC30,G#4,G#,1
s34,AC30,G#4,G#,1
s36,AC30,G#3,G#,1
s38,AC30,G#4,G#,1
s40,AC30,G#4,G#,1
s43,AC30,G#3,G#,1
s46,AC30,G#3,G#,1
s48,AC30,G#3,G#,1
s50,AC30,D#4,D#,8
s52,AC30,G#4,G#,1
s54,AC30,G#4,G#,1
s2,AC31,E4,E,2
s4,AC31,D#3,D#,1
s6,AC31,D#4,D#,1
s8,AC31,A#3,A#,8
s10,AC31,D#4,D#,1
s12,AC31,C3,C,10
s16,AC31,D#3,D#,1
s21,AC31,D#3,D#,1
s23,AC31,D#3,D#,1
s25,AC31,D#4,D#,1
s27,AC31,E3,E,2
s29,AC31,F4,F,3
s31,AC31,D#4,D#,1
s33,AC31,D#3,D#,1
s35,AC31,E4,E,2
s37,AC31,D3,D,12
s41,AC31,D#4,D#,1
s42,AC31,D#4,D#,1
s44,AC31,G3,G,5
s47,AC31,D#4,D#,1
s49,AC31,D#4,D#,1
s51,AC31,D#4,D#,1
s53,AC31,D#3,D#,1
s56,AC31,D#3,D#,1
s58,AC31,D#3,D#,1
s1,AC32,A#3,A#,1
s3,AC32,A#2,A#,1
s5,AC32,F2,F,8
s7,AC32,A#2,A#,1
s9,AC32,A#3,A#,1
s11,AC32,A#3,A#,1
s13,AC32,A#2,A#,1
s15,AC32,A#2,A#,1
s18,AC32,D4,D,5
s20,AC32,A#3,A#,1
s22,AC32,F4,F,8
s24,AC32,G4,G,10
s28,AC32,A#3,A#,1
s30,AC32,A#3,A#,1
s32,AC32,A#3,A#,1
s34,AC32,A#3,A#,1
s36,AC32,A#2,A#,1
s38,AC32,C4,C,3
s40,AC32,A#3,A#,1
s43,AC32,D3,D,5
s46,AC32,B2,B,2
s48,AC32,A#2,A#,1
s50,AC32,C4,C,3
s52,AC32,D#3,D#,6
s54,AC32,A#3,A#,1
s1,AC33,F4,F,1
s3,AC33,C4,C,8
s5,AC33,F3,F,1
s7,AC33,E3,E,12
s9,AC33,F4,F,1
s11,AC33,C4,C,8
s13,AC33,F3,F,1
s15,AC33,F3,F,1
s18,AC33,F4,F,1
s20,AC33,E4,E,12
s22,AC33,F4,F,1
s24,AC33,C4,C,8
s28,AC33,F4,F,1
s30,AC33,F4,F,1
s32,AC33,F4,F,1
s34,AC33,F4,F,1
s36,AC33,F3,F,1
s38,AC33,E4,E,12
s40,AC33,A4,A,5
s43,AC33,G#3,G#,4
s46,AC33,F3,F,1
s48,AC33,C3,C,8
s50,AC33,E4,E,12
s52,AC33,F4,F,1
s54,AC33,F4,F,1
s2,AC34,C4,C,1
s4,AC34,C3,C,1
s6,AC34,C4,C,1
s8,AC34,C4,C,1
s10,AC34,C4,C,1
s12,AC34,C3,C,1
